Time,Current Risk Score,Sliding Window Risk Score,Current Risk Color,Sliding Window Risk Color
0,0.15,0.0,"(0.2980392156862745, 0.65039600153787, 0.0, 1.0)","(0.0, 0.5019607843137255, 0.0, 1.0)"
1,0.0,0.04,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.0784313725490196, 0.5410226835832372, 0.0, 1.0)"
2,0.0,0.04,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.0784313725490196, 0.5410226835832372, 0.0, 1.0)"
3,0.0,0.04,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.0784313725490196, 0.5410226835832372, 0.0, 1.0)"
4,0.0,0.04,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.0784313725490196, 0.5410226835832372, 0.0, 1.0)"
5,0.0,0.04,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.0784313725490196, 0.5410226835832372, 0.0, 1.0)"
6,0.0,0.04,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.0784313725490196, 0.5410226835832372, 0.0, 1.0)"
7,0.0,0.04,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.0784313725490196, 0.5410226835832372, 0.0, 1.0)"
8,0.0,0.04,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.0784313725490196, 0.5410226835832372, 0.0, 1.0)"
9,0.13999999999999999,0.04,"(0.27450980392156865, 0.6386774317570165, 0.0, 1.0)","(0.0784313725490196, 0.5410226835832372, 0.0, 1.0)"
10,0.13999999999999999,0.04466666666666667,"(0.27450980392156865, 0.6386774317570165, 0.0, 1.0)","(0.08627450980392157, 0.5449288735101884, 0.0, 1.0)"
11,0.0,0.054,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.10196078431372549, 0.5527412533640907, 0.0, 1.0)"
12,0.0,0.054,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.10196078431372549, 0.5527412533640907, 0.0, 1.0)"
13,0.0,0.054,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.10196078431372549, 0.5527412533640907, 0.0, 1.0)"
14,0.0,0.054,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.10196078431372549, 0.5527412533640907, 0.0, 1.0)"
15,0.0,0.054,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.10196078431372549, 0.5527412533640907, 0.0, 1.0)"
16,0.0,0.054,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.10196078431372549, 0.5527412533640907, 0.0, 1.0)"
17,0.0,0.054,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.10196078431372549, 0.5527412533640907, 0.0, 1.0)"
18,0.0,0.054,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.10196078431372549, 0.5527412533640907, 0.0, 1.0)"
19,0.13999999999999999,0.054,"(0.27450980392156865, 0.6386774317570165, 0.0, 1.0)","(0.10196078431372549, 0.5527412533640907, 0.0, 1.0)"
20,0.0,0.09133333333333334,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.1803921568627451, 0.5918031526336025, 0.0, 1.0)"
21,0.0,0.09133333333333334,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.1803921568627451, 0.5918031526336025, 0.0, 1.0)"
22,0.0,0.09133333333333334,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.1803921568627451, 0.5918031526336025, 0.0, 1.0)"
23,0.0,0.09133333333333334,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.1803921568627451, 0.5918031526336025, 0.0, 1.0)"
24,0.0,0.09133333333333334,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.1803921568627451, 0.5918031526336025, 0.0, 1.0)"
25,0.0,0.09133333333333334,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.1803921568627451, 0.5918031526336025, 0.0, 1.0)"
26,0.0,0.09133333333333334,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.1803921568627451, 0.5918031526336025, 0.0, 1.0)"
27,0.13999999999999999,0.09133333333333334,"(0.27450980392156865, 0.6386774317570165, 0.0, 1.0)","(0.1803921568627451, 0.5918031526336025, 0.0, 1.0)"
28,0.0,0.10066666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.19607843137254902, 0.5996155324875048, 0.0, 1.0)"
29,0.0,0.10066666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.19607843137254902, 0.5996155324875048, 0.0, 1.0)"
30,0.0,0.10066666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.19607843137254902, 0.5996155324875048, 0.0, 1.0)"
31,0.0,0.060666666666666674,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.11764705882352941, 0.5605536332179931, 0.0, 1.0)"
32,0.0,0.060666666666666674,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.11764705882352941, 0.5605536332179931, 0.0, 1.0)"
33,0.12,0.060666666666666674,"(0.23529411764705882, 0.6191464821222606, 0.0, 1.0)","(0.11764705882352941, 0.5605536332179931, 0.0, 1.0)"
34,0.0,0.08066666666666668,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.1568627450980392, 0.580084582852749, 0.0, 1.0)"
35,0.0,0.08066666666666668,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.1568627450980392, 0.580084582852749, 0.0, 1.0)"
36,0.0,0.08066666666666668,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.1568627450980392, 0.580084582852749, 0.0, 1.0)"
37,0.0,0.08066666666666668,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.1568627450980392, 0.580084582852749, 0.0, 1.0)"
38,0.15,0.08066666666666668,"(0.2980392156862745, 0.65039600153787, 0.0, 1.0)","(0.1568627450980392, 0.580084582852749, 0.0, 1.0)"
39,0.0,0.11066666666666668,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.2196078431372549, 0.6113341022683583, 0.0, 1.0)"
40,0.0,0.106,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.21176470588235294, 0.6074279123414071, 0.0, 1.0)"
41,0.0,0.09666666666666666,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.18823529411764706, 0.5957093425605536, 0.0, 1.0)"
42,0.0,0.09666666666666666,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.18823529411764706, 0.5957093425605536, 0.0, 1.0)"
43,0.0,0.09666666666666666,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.18823529411764706, 0.5957093425605536, 0.0, 1.0)"
44,0.04000000000000001,0.09666666666666666,"(0.0784313725490196, 0.5410226835832372, 0.0, 1.0)","(0.18823529411764706, 0.5957093425605536, 0.0, 1.0)"
45,0.0,0.102,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.20392156862745098, 0.603521722414456, 0.0, 1.0)"
46,0.0,0.102,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.20392156862745098, 0.603521722414456, 0.0, 1.0)"
47,0.0,0.102,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.20392156862745098, 0.603521722414456, 0.0, 1.0)"
48,0.09,0.102,"(0.1803921568627451, 0.5918031526336025, 0.0, 1.0)","(0.20392156862745098, 0.603521722414456, 0.0, 1.0)"
49,0.0,0.126,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.25098039215686274, 0.626958861976163, 0.0, 1.0)"
50,0.0,0.08866666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.17254901960784313, 0.5878969627066513, 0.0, 1.0)"
51,0.0,0.08866666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.17254901960784313, 0.5878969627066513, 0.0, 1.0)"
52,0.0,0.08866666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.17254901960784313, 0.5878969627066513, 0.0, 1.0)"
53,0.0,0.08866666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.17254901960784313, 0.5878969627066513, 0.0, 1.0)"
54,0.0,0.08866666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.17254901960784313, 0.5878969627066513, 0.0, 1.0)"
55,0.0,0.08866666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.17254901960784313, 0.5878969627066513, 0.0, 1.0)"
56,0.16000000000000003,0.08866666666666667,"(0.3137254901960784, 0.6582083813917724, 0.0, 1.0)","(0.17254901960784313, 0.5878969627066513, 0.0, 1.0)"
57,0.0,0.10466666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.20392156862745098, 0.603521722414456, 0.0, 1.0)"
58,0.0,0.09533333333333334,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.18823529411764706, 0.5957093425605536, 0.0, 1.0)"
59,0.3,0.09533333333333334,"(0.596078431372549, 0.7988312187620146, 0.0, 1.0)","(0.18823529411764706, 0.5957093425605536, 0.0, 1.0)"
60,0.0,0.18533333333333335,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3686274509803922, 0.6855517108804305, 0.0, 1.0)"
61,0.0,0.18533333333333335,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3686274509803922, 0.6855517108804305, 0.0, 1.0)"
